id_cliente,nome,email,telefone,renda_mensal,score_credito,historico_inadimplente,localidade_interesse,tipo_imovel_interesse,data_cadastro
CLI-50034,Olivia Freitas,abreuoliver@example.org,43 2053-3077,6103.0,668.0,0.0,Ceilândia,Apartamento,2026-02-21
CLI-50035,Dr. Vinicius Cunha,cvargas@example.net,97 9747-4621,11736.0,945.0,0.0,Jardim Botânico,Apartamento,2026-06-25
CLI-50036,Sara Nascimento,ocunha@example.com,81 5717-0562,13350.0,671.0,0.0,Jardim Botânico,Casa,2026-07-11
CLI-50037,Srta. Yasmin Ferreira,otto12@example.org,43 9623-1742,12340.0,393.0,1.0,Guará,Apartamento,2026-03-21
CLI-50038,Ana Julia Azevedo,rsilva@example.org,83 6948-0706,5782.0,523.0,0.0,Águas Lindas de Goiás,Apartamento,2026-08-28
CLI-50039,Luna Moura,carlos-eduardopinto@example.org,77 0994-2575,5418.0,786.0,0.0,Águas Lindas de Goiás,Casa,2026-07-06
CLI-50040,Vitória Rezende,tda-cunha@example.net,+55 79 2537-6171,34118.0,337.0,1.0,Lago Norte,Casa,2025-12-30
CLI-50041,Jade Alves,luiz-felipe20@example.net,+55 75 6824-9732,6800.0,645.0,0.0,Valparaíso de Goiás,Casa,2026-03-22
CLI-50042,Ana Sophia Souza,scostela@example.com,+55 98 5456-3683,9834.0,764.0,,Águas Claras,Apartamento,2026-01-09
CLI-50043,Bruna Lopes,guilhermemonteiro@example.org,+55 99 7816-1219,32829.0,643.0,0.0,Lago Sul,Casa,2026-04-30
CLI-50044,Bianca Almeida,raul89@example.com,+55 17 0154-6512,25464.0,810.0,0.0,Sudoeste / Octogonal,,
CLI-50045,Sofia Cassiano,,+55 65 3548-6986,12034.0,691.0,0.0,Jardim Botânico,Apartamento,2025-11-25
CLI-50046,Gabrielly Correia,kpires@example.com,54 6446-8558,13474.0,450.0,0.0,Jardim Botânico,Apartamento,2026-07-10
CLI-50047,Sophie Silva,xpereira@example.com,+55 81 7517-1446,9016.0,948.0,0.0,Jardim Botânico,Casa,2026-06-30
CLI-50048,Sr. Pedro Miguel Pacheco,kmarques@example.org,+55 46 9401-8125,10605.0,620.0,0.0,Jardim Botânico,Apartamento,2025-12-08
CLI-50049,Vitor Moura,palves@example.org,51 1237-5856,4556.0,344.0,1.0,Ceilândia,Casa,2026-07-01
CLI-50050,Lavínia Teixeira,cavalcantemaria@example.net,46 3068-8675,5278.0,747.0,0.0,Ceilândia,,2026-06-07
CLI-50051,Murilo Brito,maria-fernandaabreu@example.net,89 2746-1774,3441.0,379.0,0.0,Ceilândia,Apartamento,2026-05-31
CLI-50052,Maria Vitória Carvalho,portoluan@example.net,99 5836-7694,41549.0,385.0,1.0,Sudoeste / Octogonal,Apartamento,2026-04-01
CLI-50053,Bruna Nunes,,+55 28 3790-7683,5793.0,735.0,1.0,Ceilândia,,2026-05-23
CLI-50054,Elisa Ribeiro,ana-sophiamacedo@example.com,74 9376-7596,5309.0,343.0,1.0,Taguatinga,Casa,2026-05-26
CLI-50055,Srta. Marina Pimenta,joanapeixoto@example.org,27 2283-1727,3481.0,558.0,,Samambaia,Casa,2026-06-15
CLI-50056,Luiz Henrique Sales,,65 7603-8029,44538.0,404.0,1.0,Noroeste,Apartamento,2026-02-19
CLI-50057,Pedro Lucas Silva,manuela10@example.net,+55 32 6747-8077,,511.0,0.0,Jardim Botânico,Apartamento,2026-01-07
CLI-50058,Calebe Costela,novaesvinicius@example.com,0500 574 3848,,497.0,1.0,Jardim Botânico,Casa,2026-05-21
CLI-50059,,mariah14@example.org,71 4949-3921,10835.0,491.0,1.0,Jardim Botânico,Casa,2025-12-23
CLI-50060,Milena Andrade,ana-luizagoncalves@example.org,+55 16 8861-2733,8443.0,542.0,,Jardim Botânico,Casa,2026-05-17
CLI-50061,Pedro Melo,luiz-fernando26@example.net,,9463.0,936.0,0.0,Guará,Casa,2025-09-28
CLI-50062,Catarina Peixoto,ana-carolina89@example.net,,6959.0,717.0,0.0,Taguatinga,Apartamento,2025-12-22
CLI-50063,Pedro Ramos,murilosousa@example.com,15 5770-3004,30207.0,730.0,0.0,Asa Norte,Apartamento,2026-03-10
CLI-50064,Dra. Isabel Almeida,noah70@example.org,,,412.0,0.0,Águas Lindas de Goiás,Apartamento,2025-12-27
CLI-50065,Manuela Siqueira,uleao@example.net,+55 71 8191-2853,6809.0,328.0,0.0,Ceilândia,Apartamento,
CLI-50066,Matteo da Rosa,,+55 82 8052-6208,6533.0,503.0,0.0,Valparaíso de Goiás,Casa,2026-01-29
CLI-50067,Sarah Rocha,lorenzo17@example.com,37 1449-6788,22311.0,,0.0,Asa Norte,Apartamento,2026-07-31
CLI-50068,Hellena Castro,dsouza@example.org,+55 94 3260-7896,13388.0,869.0,0.0,Águas Claras,Casa,2026-02-24
CLI-50069,Ian Borges,salesana-cecilia@example.org,21 3135-5172,29553.0,437.0,1.0,Noroeste,Apartamento,2026-03-09
CLI-50070,Sr. Valentim Gonçalves,rsa@example.org,66 3756-5736,41284.0,524.0,0.0,Asa Norte,Apartamento,2026-03-20
CLI-50071,Sra. Rebeca Brito,caldeiraclara@example.net,42 8693-7391,4697.0,,1.0,Valparaíso de Goiás,Casa,2026-01-13
CLI-50072,,carlos-eduardogomes@example.org,+55 94 0426-7638,,799.0,0.0,Samambaia,Apartamento,2026-06-01
CLI-50073,Bárbara Souza,kalbuquerque@example.com,87 7199-9741,10900.0,,0.0,Águas Claras,Apartamento,2025-12-31
CLI-50074,Thales Costela,anamoraes@example.org,74 3324-2805,3100.0,649.0,0.0,Águas Lindas de Goiás,Casa,2025-09-26
CLI-50075,Luan Aparecida,isis02@example.com,51 2160-4227,7070.0,494.0,1.0,Jardim Botânico,Casa,2026-08-29
CLI-50076,Hellena Moreira,xviana@example.com,+55 44 0116-6271,3026.0,913.0,0.0,Valparaíso de Goiás,Apartamento,2026-03-25
CLI-50077,Oliver Mendonça,kcirino@example.net,+55 48 8780-9465,3171.0,525.0,0.0,Ceilândia,Casa,2026-01-28
CLI-50078,Leandro da Mota,xabreu@example.com,+55 55 2546-8481,5969.0,,0.0,Valparaíso de Goiás,Apartamento,
CLI-50079,Kaique Ramos,machadobryan@example.net,46 3989-7892,4480.0,573.0,0.0,Taguatinga,Apartamento,2025-12-27
CLI-50080,Sarah Cassiano,vianaisaque@example.net,+55 53 3197-9576,13729.0,,0.0,,Apartamento,2026-08-26
CLI-50081,Isaque da Costa,marcela50@example.com,+55 92 5253-5128,,490.0,0.0,Lago Sul,Apartamento,2025-11-29
CLI-50082,Lucas Gabriel Fogaça,,19 7829-9769,7375.0,416.0,0.0,Guará,Casa,2026-05-08
CLI-50083,Dra. Ana Laura Souza,miguel91@example.net,86 2197-7947,3275.0,322.0,1.0,,Apartamento,
CLI-50084,Ana Cecília Leão,teixeiraravy@example.com,65 9883-0737,5656.0,453.0,1.0,Valparaíso de Goiás,Apartamento,2026-02-18
CLI-50085,Aylla Rios,zramos@example.com,+55 69 7542-6554,6203.0,392.0,1.0,Taguatinga,Apartamento,2025-11-08
CLI-50086,Alícia Teixeira,heloisa40@example.net,73 1153-9844,10385.0,460.0,0.0,Guará,Casa,2026-08-03
CLI-50087,Eduardo Moraes,esther05@example.net,81 8433-3913,12767.0,653.0,0.0,Águas Claras,Apartamento,2026-01-29
CLI-50088,João Pedro Caldeira,zcunha@example.net,63 4269-2265,7004.0,534.0,0.0,Guará,Apartamento,2026-05-29
CLI-50089,Isis Alves,bianca21@example.com,+55 54 4325-8945,4978.0,320.0,1.0,Ceilândia,Apartamento,2025-12-27
CLI-50090,Alexia Santos,lavinianovaes@example.net,53 4258-4436,3536.0,413.0,0.0,Taguatinga,Casa,2026-02-17
CLI-50091,Mirella da Cunha,yago39@example.org,+55 27 9762-2290,5840.0,442.0,0.0,Taguatinga,Casa,2025-11-12
CLI-50092,Elisa da Costa,isis96@example.org,+55 15 9260-5258,6534.0,490.0,0.0,Águas Lindas de Goiás,Casa,2025-12-04
CLI-50093,Ana Julia Ferreira,matteo14@example.org,31 3863-3362,5917.0,626.0,0.0,Águas Lindas de Goiás,Apartamento,2026-03-02
CLI-50094,Antony Mendonça,luiza66@example.org,94 1016-2883,4537.0,586.0,0.0,Taguatinga,Apartamento,2026-06-20
CLI-50095,Cauã Araújo,xfogaca@example.com,+55 64 2868-9668,21194.0,684.0,0.0,Sudoeste / Octogonal,Casa,2026-07-23
CLI-50096,Benjamim Silva,rebeca26@example.net,24 2546-1132,8208.0,456.0,1.0,Guará,Apartamento,2026-08-13
CLI-50097,José Moraes,upacheco@example.org,0800 902 5953,11728.0,880.0,0.0,Jardim Botânico,Apartamento,
CLI-50098,Sra. Júlia Pacheco,aparecidaalexia@example.net,+55 86 1463-0369,14146.0,437.0,1.0,Guará,Apartamento,
CLI-50099,Lara Vieira,luiz-gustavocampos@example.com,45 0983-8370,8199.0,776.0,0.0,Jardim Botânico,Apartamento,2026-06-05
CLI-50100,,luigioliveira@example.com,84 2945-0341,4155.0,691.0,0.0,Águas Lindas de Goiás,Apartamento,2025-10-28
CLI-50101,Sr. Arthur da Paz,csilva@example.net,45 3990-0495,11245.0,902.0,0.0,Jardim Botânico,Apartamento,2026-06-01
CLI-50102,Luiz Gustavo Lima,ileao@example.net,65 1154-7838,4961.0,418.0,1.0,Águas Lindas de Goiás,Casa,2026-01-23
CLI-50103,Sophie das Neves,bryannascimento@example.org,+55 24 1963-4170,3149.0,769.0,1.0,Águas Lindas de Goiás,,2026-02-01
CLI-50104,Luísa Ferreira,fogacaluiza@example.net,,9640.0,990.0,0.0,Águas Claras,Casa,2026-01-16
CLI-50105,Francisco Gonçalves,heloisa34@example.net,19 9373-9940,31417.0,368.0,1.0,Noroeste,Casa,2026-09-06
CLI-50106,Davi Miguel Ramos,nicolecostela@example.org,45 7180-6694,5901.0,823.0,0.0,Valparaíso de Goiás,Apartamento,2025-09-25
CLI-50107,Valentina da Mata,camila73@example.net,53 7158-8674,13023.0,,0.0,Águas Claras,Casa,
CLI-50108,Dr. Thiago Pinto,salesana-beatriz@example.net,+55 49 1105-6553,3614.0,404.0,,Valparaíso de Goiás,Casa,
CLI-50109,,jcostela@example.com,95 8762-7827,5347.0,980.0,0.0,Samambaia,Apartamento,2025-10-28
CLI-50110,Isabel Pastor,vianabenicio@example.net,+55 84 9765-8192,4018.0,723.0,0.0,Águas Lindas de Goiás,Apartamento,2026-07-07
CLI-50111,Eduarda Porto,ana-beatrizteixeira@example.org,,5002.0,359.0,1.0,Samambaia,Apartamento,2026-06-18
CLI-50112,Antonella Cassiano,arthur96@example.net,+55 14 0770-6472,6811.0,485.0,1.0,Taguatinga,Apartamento,2026-08-11
CLI-50113,Dom Albuquerque,gomescaleb@example.net,+55 42 0891-0379,12074.0,954.0,0.0,Guará,Apartamento,2026-07-22
CLI-50114,Luiz Gustavo Pimenta,ana-luiza00@example.net,+55 68 9518-0354,3281.0,360.0,0.0,Samambaia,Casa,2026-04-23
CLI-50115,Enzo Gabriel Moreira,joao-guilhermerezende@example.net,,11425.0,788.0,0.0,Águas Claras,Apartamento,2026-01-05
CLI-50116,Dr. Anthony Correia,bteixeira@example.org,65 5300-9853,5743.0,850.0,0.0,Taguatinga,Casa,2026-09-13
CLI-50117,Laís Abreu,joaosilveira@example.com,28 8788-6916,4221.0,794.0,0.0,Taguatinga,Apartamento,2025-12-27
CLI-50118,Luan das Neves,camposmariah@example.org,27 9779-4618,,765.0,0.0,Taguatinga,Apartamento,2026-03-08
CLI-50119,,ana-ceciliacavalcanti@example.com,+55 21 3658-4850,6098.0,540.0,0.0,Valparaíso de Goiás,Apartamento,2026-01-24
CLI-50120,Mirella Nascimento,rhaviteixeira@example.com,,5273.0,369.0,1.0,,Casa,2026-05-26
CLI-50121,Zoe Moraes,cavalcantimaria-alice@example.net,+55 15 6692-1534,4377.0,,0.0,Águas Lindas de Goiás,Apartamento,2026-04-11
CLI-50122,Dr. Vinícius Abreu,carlos-eduardocastro@example.net,+55 61 1466-5708,4972.0,766.0,,Samambaia,,2026-06-04
CLI-50123,Sra. Luísa Fogaça,mcavalcante@example.com,96 7745-8481,6147.0,637.0,0.0,,Apartamento,2026-08-26
CLI-50124,Josué Andrade,kda-luz@example.net,+55 82 2160-3321,14369.0,472.0,0.0,Guará,Casa,2026-09-15
CLI-50125,Maysa Costela,,+55 53 5317-5314,4689.0,329.0,0.0,Valparaíso de Goiás,Apartamento,2025-10-12
CLI-50126,Davi Macedo,,+55 28 9516-5671,11244.0,987.0,0.0,Guará,Apartamento,2026-05-06
CLI-50127,Noah Correia,ayla97@example.org,+55 73 0331-9553,,785.0,0.0,Asa Sul,Casa,2026-05-02
CLI-50128,Kaique Cassiano,pachecorafaela@example.net,+55 27 6302-0039,4285.0,950.0,0.0,Ceilândia,Casa,2025-12-11
CLI-50129,Liz Ramos,rafaelanovaes@example.com,43 2322-4697,14755.0,329.0,1.0,Jardim Botânico,Apartamento,2025-10-24
CLI-50130,Luana Santos,pietranovaes@example.org,87 3998-0380,14559.0,416.0,1.0,Guará,Casa,2025-12-01
CLI-50131,Bento Costa,leomoura@example.net,+55 63 5104-7640,33256.0,717.0,0.0,Lago Norte,Apartamento,2026-04-06
CLI-50132,Srta. Emilly da Rocha,,+55 93 4481-5482,10294.0,978.0,0.0,Jardim Botânico,Casa,2025-11-15
CLI-50133,Maria Laura da Cruz,juan35@example.com,+55 27 1458-3010,5427.0,910.0,0.0,Samambaia,Apartamento,2026-07-15
CLI-50134,,ecamargo@example.org,+55 27 1408-5907,3355.0,799.0,0.0,Samambaia,Casa,2025-12-14
CLI-50135,Cauã Rezende,andrademaria-clara@example.org,95 8692-1084,,331.0,1.0,Lago Norte,Apartamento,2026-03-02
CLI-50136,Paulo Rezende,da-costaluiza@example.com,+55 79 8435-5450,13965.0,400.0,1.0,Guará,Casa,2026-01-29
CLI-50137,Dr. Calebe Montenegro,camila01@example.com,46 8899-3960,9305.0,873.0,0.0,Águas Claras,Casa,2026-06-28
CLI-50138,Sra. Maria Luiza Mendonça,,17 9420-4216,3578.0,520.0,0.0,Samambaia,Casa,2025-12-15
CLI-50139,Sr. Marcos Vinicius Albuquerque,uborges@example.org,,4636.0,,1.0,Samambaia,Apartamento,
CLI-50140,Guilherme Souza,joao-guilherme70@example.net,69 9658-7141,3705.0,553.0,0.0,,Apartamento,2026-02-06
CLI-50141,Sr. Luigi Aragão,maria-vitoriavargas@example.org,+55 22 6280-2677,18409.0,817.0,0.0,Asa Sul,Apartamento,2026-09-15
CLI-50142,Beatriz da Conceição,cmontenegro@example.net,,13003.0,923.0,0.0,,Casa,2025-11-22
CLI-50143,,benjamimcardoso@example.com,+55 32 5649-5801,5201.0,627.0,0.0,Valparaíso de Goiás,Casa,2026-06-30
CLI-50144,,otto07@example.net,+55 38 3126-9866,15423.0,824.0,0.0,Lago Sul,Apartamento,2026-07-18
CLI-50145,José Pedro Costa,cavalcanteemanuelly@example.com,+55 87 8675-9777,3395.0,906.0,0.0,Valparaíso de Goiás,Casa,2026-09-10
CLI-50146,,maria-alice04@example.net,0800 419 4399,4567.0,467.0,0.0,,Apartamento,2026-08-17
CLI-50147,Stephany Cassiano,ana-cecilia56@example.net,0500 204 7642,20497.0,318.0,1.0,Lago Sul,Apartamento,2026-07-27
CLI-50148,Sra. Kamilly Moreira,gcaldeira@example.org,16 4389-3210,,904.0,0.0,Lago Sul,Apartamento,2026-04-23
CLI-50149,Luiz Felipe Azevedo,samuellopes@example.com,51 8773-5099,14656.0,,0.0,Jardim Botânico,Casa,2026-01-27
CLI-50150,Arthur Miguel Almeida,pachecomarcela@example.com,12 3379-9447,13402.0,966.0,0.0,Guará,Casa,2026-05-15
CLI-50151,Sr. Bryan da Conceição,franciscosales@example.net,65 9464-0138,6826.0,596.0,0.0,Águas Lindas de Goiás,Casa,2026-02-13
CLI-50152,Emanuelly Farias,davi-lucca63@example.com,+55 95 1663-9699,3041.0,633.0,0.0,Ceilândia,Casa,2026-05-19
CLI-50153,Isadora Costela,guerrapedro-henrique@example.net,96 4465-8924,6096.0,,0.0,Águas Lindas de Goiás,Apartamento,2025-11-04
CLI-50154,Marcelo Fogaça,aylacarvalho@example.org,49 1977-8475,6560.0,,0.0,Valparaíso de Goiás,Apartamento,2026-01-30
CLI-50155,Arthur Moraes,luiz-gustavoborges@example.com,92 0044-9211,5584.0,349.0,1.0,Ceilândia,Apartamento,2026-06-05
CLI-50156,Thomas Silveira,teixeiraisaque@example.com,+55 66 1155-4366,23583.0,488.0,0.0,Lago Norte,Apartamento,2025-11-10
CLI-50157,Maitê Sousa,antonio31@example.net,18 9768-5424,3608.0,698.0,0.0,Ceilândia,,2025-12-23
CLI-50158,Sr. Pedro Miguel Santos,ngarcia@example.com,+55 65 0509-7869,8977.0,,0.0,,,2025-09-30
CLI-50159,Maria Helena Sampaio,andradeagatha@example.org,+55 71 9628-2575,4939.0,606.0,0.0,Taguatinga,Casa,2026-08-31
CLI-50160,Emilly Vargas,andradethomas@example.net,14 0532-7231,11021.0,696.0,0.0,Águas Claras,Apartamento,2025-11-04
CLI-50161,João Lucas da Cunha,rduarte@example.com,11 5830-5135,4959.0,723.0,0.0,Ceilândia,Casa,2026-09-04
CLI-50162,Vitor Fogaça,,+55 98 6387-6447,3038.0,545.0,0.0,Águas Lindas de Goiás,Apartamento,2025-12-12
CLI-50163,Ayla Mendonça,mporto@example.org,+55 92 2189-4078,41726.0,565.0,0.0,Lago Sul,Casa,2026-05-16
CLI-50164,Daniel Siqueira,manuelacampos@example.org,+55 42 7792-4197,8567.0,577.0,0.0,Guará,Casa,2025-10-03
CLI-50165,,ana-carolina18@example.com,62 8787-1230,3067.0,735.0,0.0,Taguatinga,Casa,2026-06-19
CLI-50166,Dom Silveira,mouradaniela@example.org,+55 42 4154-0396,10134.0,526.0,0.0,Jardim Botânico,Apartamento,2026-08-05
CLI-50167,Maria Eduarda Camargo,mateuscosta@example.org,+55 66 7388-8965,33267.0,821.0,0.0,Asa Sul,Casa,2026-02-16
CLI-50168,Srta. Ana Luiza Sampaio,icampos@example.com,+55 97 3803-1288,6326.0,711.0,0.0,Taguatinga,Apartamento,2026-04-11
CLI-50169,Renan Fonseca,riosluiza@example.org,19 6894-7523,9646.0,593.0,0.0,Águas Claras,Apartamento,2026-01-07
CLI-50170,Sr. Miguel Brito,ana-vitoriagoncalves@example.com,+55 55 7088-1457,5666.0,563.0,0.0,Águas Lindas de Goiás,Casa,2026-04-26
CLI-50171,Guilherme Cirino,fariaslucas@example.org,+55 17 9155-0478,5584.0,,1.0,Águas Lindas de Goiás,Casa,2026-02-26
CLI-50172,José Pedro da Luz,ycardoso@example.net,86 2674-8631,21045.0,778.0,0.0,Asa Sul,Apartamento,2026-01-15
CLI-50173,Ravi Lucca Nogueira,vda-mota@example.net,65 5670-0974,6091.0,846.0,,Valparaíso de Goiás,Apartamento,2026-06-14
CLI-50174,Cecília Rocha,almeidaanna-liz@example.net,+55 82 3920-6999,30181.0,563.0,0.0,Sudoeste / Octogonal,Casa,2026-03-29
CLI-50175,Léo da Mata,piresmaria-julia@example.org,+55 46 1175-1649,3571.0,978.0,0.0,Taguatinga,Apartamento,2025-11-18
CLI-50176,Lara Aragão,davi-luizda-paz@example.org,21 1189-7363,,776.0,0.0,Águas Lindas de Goiás,Apartamento,2026-02-19
CLI-50177,Benjamin Gonçalves,kda-rocha@example.com,+55 79 9126-9017,8774.0,425.0,1.0,Guará,Casa,2026-06-12
CLI-50178,Anthony Gabriel Abreu,eloanovais@example.org,91 0041-4784,8119.0,714.0,0.0,Águas Claras,Apartamento,2026-05-17
CLI-50179,Diogo Moura,da-motadavi-miguel@example.com,+55 15 2057-4321,6969.0,592.0,0.0,,Casa,2026-03-16
CLI-50180,Ísis Fogaça,danilo44@example.net,33 9359-1162,9421.0,810.0,0.0,Guará,Casa,2026-05-15
CLI-50181,Davi Lucas Cassiano,zoe56@example.com,+55 51 3896-6952,4412.0,839.0,0.0,Águas Lindas de Goiás,Apartamento,2026-03-26
CLI-50182,Sr. Bruno Brito,lguerra@example.org,63 6843-9453,7742.0,904.0,0.0,Águas Claras,Casa,2026-06-24
CLI-50183,Ryan Melo,cavalcanteantony@example.org,+55 82 1035-0850,6005.0,345.0,0.0,Valparaíso de Goiás,Casa,
CLI-50184,,,71 7951-5635,11886.0,503.0,,,Casa,2026-04-25
CLI-50185,,sarah85@example.net,+55 87 0056-8589,3452.0,393.0,0.0,Águas Lindas de Goiás,Casa,2025-10-18
CLI-50186,Maria Isis Moraes,camposnatalia@example.net,+55 12 9326-2516,,849.0,0.0,Guará,Apartamento,2026-04-20
CLI-50187,Clara Novais,eduardosiqueira@example.net,93 3213-3617,6432.0,516.0,0.0,Ceilândia,Apartamento,2026-06-13
CLI-50188,Alícia Costa,montenegrovinicius@example.net,,22003.0,426.0,0.0,Asa Sul,Casa,2026-09-18
CLI-50189,Ayla Andrade,luanagarcia@example.com,+55 63 5002-7588,3631.0,590.0,0.0,Ceilândia,Apartamento,2026-04-13
CLI-50190,Juliana Peixoto,enzo-gabriel56@example.org,+55 19 1049-0419,3532.0,451.0,1.0,Valparaíso de Goiás,Casa,2026-01-17
CLI-50191,Antonella Ramos,,+55 12 8537-3281,13609.0,852.0,0.0,Jardim Botânico,Casa,2026-04-23
CLI-50192,Cauã Monteiro,ravycaldeira@example.org,12 7121-8993,3294.0,809.0,0.0,Taguatinga,Casa,2025-09-27
CLI-50193,Dr. Josué Correia,bryan25@example.com,+55 67 8334-9227,5250.0,969.0,0.0,Samambaia,Casa,2026-08-06
CLI-50194,Thiago Dias,emanuellanunes@example.com,37 0390-5241,8620.0,743.0,0.0,Guará,,2026-03-18
CLI-50195,Dr. Nathan Freitas,pachecojoao-felipe@example.com,15 4736-1372,21029.0,899.0,,Noroeste,Apartamento,2026-09-19
CLI-50196,Pietra Borges,jose-pedroda-conceicao@example.net,+55 73 7173-6151,11501.0,472.0,1.0,,Apartamento,2026-06-09
CLI-50197,Dra. Sara Oliveira,sofiadias@example.net,17 1187-1948,10842.0,990.0,0.0,Jardim Botânico,Casa,2026-06-29
CLI-50198,Matheus da Conceição,clara49@example.com,71 5395-0308,38410.0,957.0,0.0,Sudoeste / Octogonal,Casa,2026-03-22
CLI-50199,Ana Lívia Vargas,alvesjosue@example.org,0500 137 1380,5047.0,565.0,0.0,Samambaia,Casa,2026-02-05
CLI-50200,Lunna Dias,silvaalexandre@example.net,+55 77 0155-0188,30683.0,959.0,0.0,Asa Norte,Apartamento,
CLI-50201,Pedro Lucas Gonçalves,jadecirino@example.com,67 0747-6457,13826.0,528.0,0.0,Jardim Botânico,Casa,2026-08-19
CLI-50202,Maria Moreira,gustavo-henriquefonseca@example.com,65 1562-2424,3332.0,909.0,0.0,Taguatinga,Casa,
CLI-50203,Arthur Gabriel Teixeira,,+55 69 4243-3978,6069.0,352.0,1.0,Ceilândia,Apartamento,2026-08-08
CLI-50204,Ravy Nogueira,sleao@example.org,+55 49 5408-1815,3611.0,962.0,0.0,Valparaíso de Goiás,Casa,2026-05-20
